score : 39, grade : E
score : 98, grade : A
score : 19, grade : E
score : 99, grade : A
score : 74, grade : C
score : 76, grade : C
score : 18, grade : E
score : 35, grade : E
score : 67, grade : D
score : 78, grade : C
score : 32, grade : E
score : 95, grade : A
score : 61, grade : D
score : 91, grade : A
score : 26, grade : E
score : 92, grade : A
score : 24, grade : E
score : 61, grade : D
score : 23, grade : E
score : 12, grade : E
score : 11, grade : E
score : 67, grade : D
score : 38, grade : E
score : 15, grade : E
score : 39, grade : E
score : 36, grade : E
score : 12, grade : E
score : 92, grade : A
score : 15, grade : E
score : 26, grade : E
score : 41, grade : E
score : 98, grade : A
score : 81, grade : B
score : 98, grade : A
score : 61, grade : D
score : 55, grade : E
score : 7, grade : E
score : 85, grade : B
score : 86, grade : B
score : 59, grade : E
score : 90, grade : A
score : 10, grade : E
score : 75, grade : C
score : 13, grade : E
score : 28, grade : E
score : 69, grade : D
score : 70, grade : C
score : 67, grade : D
score : 23, grade : E
score : 4, grade : E
score : 1, grade : E
score : 97, grade : A
score : 59, grade : E
score : 53, grade : E
score : 26, grade : E
score : 39, grade : E
score : 38, grade : E
score : 53, grade : E
score : 26, grade : E
score : 31, grade : E
score : 82, grade : B
score : 66, grade : D
score : 70, grade : C
score : 37, grade : E
score : 94, grade : A
score : 77, grade : C
score : 29, grade : E
score : 46, grade : E
score : 19, grade : E
score : 69, grade : D
score : 25, grade : E
score : 12, grade : E
score : 99, grade : A
score : 5, grade : E
score : 100, grade : A
score : 84, grade : B
score : 14, grade : E
score : 41, grade : E
score : 3, grade : E
score : 67, grade : D
score : 50, grade : E
score : 62, grade : D
score : 23, grade : E
score : 65, grade : D
score : 88, grade : B
score : 13, grade : E
score : 65, grade : D
score : 61, grade : D
score : 99, grade : A
score : 99, grade : A
score : 54, grade : E
score : 99, grade : A
score : 55, grade : E
score : 79, grade : C
score : 29, grade : E
score : 58, grade : E
score : 10, grade : E
score : 69, grade : D
score : 79, grade : C
score : 22, grade : E
score : 65, grade : D
score : 58, grade : E
score : 31, grade : E
score : 84, grade : B
score : 95, grade : A
score : 68, grade : D
score : 95, grade : A
score : 1, grade : E
score : 71, grade : C
score : 11, grade : E
score : 26, grade : E
score : 98, grade : A
score : 68, grade : D
score : 74, grade : C
score : 52, grade : E
score : 23, grade : E
score : 94, grade : A
score : 75, grade : C
score : 93, grade : A
score : 13, grade : E
score : 54, grade : E
score : 51, grade : E
score : 97, grade : A
score : 91, grade : A
score : 53, grade : E
score : 31, grade : E
score : 20, grade : E
score : 93, grade : A
score : 95, grade : A
score : 69, grade : D
score : 58, grade : E
score : 12, grade : E
score : 54, grade : E
score : 100, grade : A
score : 4, grade : E
score : 8, grade : E
score : 41, grade : E
score : 53, grade : E
score : 4, grade : E
score : 69, grade : D
score : 40, grade : E
score : 84, grade : B
score : 75, grade : C
score : 28, grade : E
score : 70, grade : C
score : 17, grade : E
score : 41, grade : E
score : 78, grade : C
score : 95, grade : A
score : 58, grade : E
score : 14, grade : E
score : 14, grade : E
score : 16, grade : E
score : 1, grade : E
score : 85, grade : B
score : 33, grade : E
score : 54, grade : E
score : 18, grade : E
score : 47, grade : E
score : 92, grade : A
score : 98, grade : A
score : 27, grade : E
score : 28, grade : E
score : 22, grade : E
score : 96, grade : A
score : 65, grade : D
score : 81, grade : B
score : 100, grade : A
score : 25, grade : E
score : 44, grade : E
score : 94, grade : A
score : 9, grade : E
score : 88, grade : B
score : 95, grade : A
score : 16, grade : E
score : 19, grade : E
score : 77, grade : C
score : 30, grade : E
score : 32, grade : E
score : 16, grade : E
score : 38, grade : E
score : 70, grade : C
score : 59, grade : E
score : 47, grade : E
score : 3, grade : E
score : 32, grade : E
score : 98, grade : A
score : 39, grade : E
score : 11, grade : E
score : 36, grade : E
score : 66, grade : D
score : 26, grade : E
score : 73, grade : C
score : 40, grade : E
score : 40, grade : E
score : 88, grade : B
score : 14, grade : E
score : 71, grade : C
score : 76, grade : C
score : 91, grade : A
